,id,name,rating,time,servings,yield,course0,cuisine0,Piquant,Sour,Salty,Sweet,Bitter,Meaty,cuisine1,holiday0,holiday1,holiday2,course1,cuisine2,course2,course3,holiday3,cuisine3,course4,holiday4,Cajun & Creole,Spanish,Hawaiian,Kid-Friendly,Indian,English,Greek,Thai,Southwestern,Italian,Mediterranean,Irish,Southern & Soul Food,Hungarian,American,Mexican,Swedish,Moroccan,Barbecue,German,Asian,Portuguese,Vietnamese,Japanese,Cuban,French,Chinese,Breads,Soups,Afternoon Tea,Cocktails,Beverages,Lunch and Snacks,Main Dishes,Appetizers,Breakfast and Brunch,Desserts,Condiments and Sauces,Side Dishes,Salads,Game Day,Christmas,Unnamed: 69,4th of July,New Year,Passover,Sommer Cocktail Party,Fall,Winter,Chinese New Year,Valentine's Day,Thanksgiving,Thanksgivukkah,Spring,Summer,Hanukkah,Sunday Lunch,Easter,St. Patrick's Day,Halloween,number_of_ingredients,taste_sum,parsed,failed,ingredient0,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient0qty,ingredient0type,ingredient1qty,ingredient1type,ingredient2qty,ingredient2type,ingredient3qty,ingredient3type,ingredient4qty,ingredient4type,ingredient5qty,ingredient5type,ingredient6qty,ingredient6type,ingredient7qty,ingredient7type,ingredient8qty,ingredient8type,ingredient9qty,ingredient9type,ingredient10qty,ingredient10type,ingredient11qty,ingredient11type,ingredient12qty,ingredient12type,ingredient13qty,ingredient13type,ingredient14qty,ingredient14type,ingredient15qty,ingredient15type,ingredient16qty,ingredient16type,ingredient17qty,ingredient17type,ingredient18qty,ingredient18type,ingredient19qty,ingredient19type,amount_error
3950,Grilled-Tandoori-Chicken-1319912,Grilled Tandoori Chicken,4,3000.0,4.0,4,Main Dishes,Indian,0.3333,0.1667,0.1667,0.1667,0.3333,0.3333,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1.4999999999999998,True,0,plain yogurt,lemon juice,small onion,garlic,grated ginger,garam masala,smoked paprika,ground cumin,ground coriander,pepper,salt to taste,chicken,,,,,,,,,118.295,vol,1.0,whole,0.0,wt,14.787,vol,14.787,vol,14.787,vol,14.787,vol,4.929,vol,4.929,vol,2.4645,vol,0.0,whole,453.6,wt,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
3956,Pork-Fried-Rice-Martha-Stewart-194959,Pork Fried Rice,4,900.0,4.0,servings: 4,Main Dishes,Asian,0.0,0.6667,0.6667,0.3333,0.5,0.6667,Chinese,,,,Side Dishes,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2.8334,True,0,vegetable oil,eggs,soy sauce,"garlic cloves, minced",minced fresh ginger,scallion greens,ground pork,carrots,frozen peas,white rice,rice vinegar,,,,,,,,,,29.574,vol,2.0,whole,29.574,vol,1.0,whole,14.787,vol,0.0,wt,226.8,wt,2.0,whole,118.295,vol,473.18,vol,29.574,vol,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
3965,Curry-Salmon-With-Broccoli-Allrecipes,Curry Salmon with Broccoli,4,3900.0,6.0,6 servings,Main Dishes,American,0.0,1.0,0.5,0.5,0.5,0.8333,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3.3333,True,0,white rice,water,broccoli,celery,mayonnaise,white wine,curry powder,salmon fillet,,,,,,,,,,,,,354.885,vol,709.77,vol,907.2,wt,304.7625,wt,236.59,vol,236.59,vol,9.858,vol,907.2,wt,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
3970,Veal-Chops-With-Creole-Mustard-Crust-Epicurious,Veal Chops with Creole Mustard Crust,5,2400.0,2.0,Makes 2 servings,Main Dishes,American,0.6667,0.1667,0.3333,0.1667,0.1667,0.8333,Cajun & Creole,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2.3334,True,0,mustard,mayonnaise,chopped onion,veal,ground allspice,olive oil,"garlic cloves, minced",french bread,,,,,,,,,,,,,59.1475,vol,29.574,vol,2.0,wt,0.0,wt,0.0,wt,29.574,vol,1.0,whole,236.59,vol,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
3971,Easy-Mixed-Vegetable-Curry-1317930,Easy Mixed Vegetable Curry,4,2100.0,6.0,6,Main Dishes,Indian,0.8333,0.5,0.5,0.1667,0.3333,0.1667,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2.5,True,0,olive oil,medium onion,"garlic cloves, minced",fresh ginger,serrano pepper,garam masala,ground coriander,ground cumin,turmeric,black pepper,vegetable broth,tomatoes,baking potatoes,cauliflower,carrots,green beans,fresh cilantro,fresh cilantro,salt to taste,,29.574,vol,1.0,whole,3.0,whole,14.787,vol,1.0,whole,9.858,vol,4.929,vol,2.4645,vol,2.4645,vol,2.4645,vol,473.18,vol,396.90000000000003,wt,0.0,wt,709.77,vol,2.0,whole,473.18,vol,0.0,whole,0.0,whole,2.4645,vol,0.0,,0
3974,Curried-Shrimp-Epicurious,Curried Shrimp,5,2400.0,4.0,makes 4 servings,Main Dishes,Asian,0.3333,0.5,0.8333,0.6667,0.6667,0.3333,Thai,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3.3333,True,0,potatoes,canola oil,curry powder,onion,shrimp,green bell pepper,mango,coconut milk,fish sauce,sriracha,sugar,fresh basil,,,,,,,,,0.0,wt,14.787,vol,29.574,vol,118.295,vol,680.4000000000001,wt,1.0,wt,1.0,whole,236.59,vol,29.574,vol,2.4645,vol,4.929,vol,78.86333333333333,vol,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
3981,Lasagna-Soup-1372378,Lasagna Soup,4,2700.0,5.0,4-6 servings,Main Dishes,Italian,0.1667,0.1667,0.3333,0.1667,0.1667,0.1667,,,,,Soups,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1.1668,True,0,kosher salt,noodles,extra-virgin olive oil,chopped onion,sweet italian sausage,ground beef,cloves garlic,dried oregano,red pepper flakes,salt and pepper to taste,salt and pepper to taste,chicken broth,parmigiano-reggiano,water,fresh basil leaves,parmesan cheese,heavy cream,ricotta cheese,,,0.0,whole,10.0,whole,14.787,vol,1.0,whole,226.8,wt,226.8,wt,3.0,whole,4.929,vol,1.23225,vol,0.0,whole,0.0,whole,946.36,vol,0.0,wt,236.59,vol,118.295,vol,78.86333333333333,vol,59.1475,vol,0.0,whole,0.0,,0.0,,0
3989,Crock-Pot-Italian-Mozzarella-Chicken-1333218,Crock Pot Italian Mozzarella Chicken,4,22200.0,6.0,serves: 6,Main Dishes,Italian,0.0,0.1667,0.8333,0.3333,0.8333,0.5,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2.6666,True,0,chicken breasts,salt and pepper,salt and pepper,dried oregano,basil,"garlic cloves, minced",marinara sauce,mozzarella cheese,penne,green olives,parmesan cheese,,,,,,,,,,6.0,whole,0.0,whole,0.0,whole,0.75,whole,0.75,whole,3.0,whole,680.4000000000001,wt,0.0,wt,226.8,wt,0.0,wt,0.0,wt,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
3994,Fish-Curry-1300711,Fish Curry,4,1800.0,4.0,4,Main Dishes,Indian,0.6667,0.3333,0.1667,0.1667,0.1667,0.3333,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1.8334,True,0,fish,onion,chopped tomatoes,jalapeño pepper,mint leaves,coriander leaves,"garlic cloves, minced",corn,peanuts,water,chili powder,chili powder,chili powder,chili powder,salt to taste,oil,lime wedges,,,,453.6,wt,0.5,whole,118.295,vol,0.5,whole,14.787,vol,14.787,vol,2.0,whole,0.0,whole,14.787,vol,118.295,vol,4.929,vol,4.929,vol,4.929,vol,4.929,vol,0.0,whole,0.0,whole,0.0,vol,0.0,,0.0,,0.0,,0
4013,One-Pot-Mexican-Chicken-and-Rice-961906,One Pot Mexican Chicken and Rice,4,3300.0,5.0,5,Main Dishes,Mexican,0.8333,0.5,0.8333,0.1667,0.3333,0.1667,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2.8333,True,0,"garlic cloves, minced",paprika,cumin powder,salt,cayenne pepper,black pepper,chicken thighs,olive oil,lime juice,small onion,"garlic cloves, minced",red bell pepper,rice,chicken or vegetable stock,tomato puree,corn kernels,black beans,lime,cilantro,jalapeño pepper,14.787,vol,14.787,vol,14.787,vol,3.69675,vol,2.4645,vol,0.0,whole,5.0,whole,29.574,vol,1.0,whole,1.0,whole,1.0,whole,1.0,whole,236.59,vol,236.59,vol,177.4425,vol,236.59,vol,0.0,wt,1.0,whole,0.0,whole,0.0,vol,0
4015,Italian-Style-Stuffed-Spaghetti-Squash-1014174,Italian Style Stuffed Spaghetti Squash,4,5400.0,4.0,4 servings,Main Dishes,Italian,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1.0002,True,0,spaghetti squash,olive oil,onion,"garlic cloves, minced",turkey,kosher salt,black pepper,tomatoes,tomato sauce,dried oregano,bay leaf,red pepper flakes,ricotta,chopped parsley,mozzarella,basil,,,,,2.0,whole,29.574,vol,1.0,whole,2.0,whole,453.6,wt,0.0,whole,0.0,whole,0.0,wt,0.0,wt,9.858,vol,1.0,whole,4.929,vol,0.0,wt,59.1475,vol,236.59,vol,0.0,whole,0.0,,0.0,,0.0,,0.0,,0
4020,White-Chicken-Enchiladas-966096,White Chicken Enchiladas,4,4800.0,4.0,,Main Dishes,Mexican,0.8333,0.8333,0.3333,0.1667,0.3333,0.6667,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3.1666,True,0,corn tortillas,chicken breasts,"medium onion, chopped",monterey jack cheese,butter,flour,chicken broth,sour cream,minced garlic,garlic,chili powder,salt,ground black pepper,onion powder,greens,chopped cilantro,,,,,0.0,whole,473.18,vol,1.0,whole,473.18,vol,73.935,vol,44.361000000000004,vol,473.18,vol,236.59,vol,14.787,vol,2.4645,vol,1.23225,vol,1.23225,vol,0.616125,vol,1.23225,vol,113.4,wt,0.0,whole,0.0,,0.0,,0.0,,0.0,,0
4024,Recipe_-San-Francisco-Cioppino-A-Spicy-Perspective-45853,San Francisco Cioppino,5,,8.0,yield:8 ,Main Dishes,American,0.0,1.0,0.8333,0.6667,0.8333,0.8333,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,4.1666,True,0,olive oil,fennel bulb,chopped onion,cloves garlic,tomato paste,fresh tarragon,thyme sprigs,saffron,red pepper,bay leaf,salt,black pepper,wine,tomatoes,stock,mussels,fish,shrimp,flour,chopped parsley,2.0,whole,0.0,wt,1.0,whole,6.0,whole,3.0,whole,1.0,whole,4.0,whole,1.0,whole,2.4645,vol,1.0,whole,9.858,vol,0.0,whole,354.885,vol,793.8000000000001,wt,907.2,wt,680.4000000000001,wt,453.6,wt,453.6,wt,1.0,whole,0.0,whole,0
4026,Turkey-Meatloaf-Epicurious,Turkey Meatloaf,5,5400.0,4.0,,Main Dishes,American,0.0,0.3333,0.8333,0.6667,1.0,0.6667,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3.5,True,0,finely chopped onion,minced garlic,olive oil,carrots,cremini mushrooms,salt,black pepper,worcestershire sauce,chopped fresh parsley,ketchup,bread crumbs,milk,large eggs,egg whites,meat,,,,,,354.885,vol,14.787,vol,4.929,vol,1.0,whole,340.20000000000005,wt,4.929,vol,2.4645,vol,7.3935,vol,78.86333333333333,vol,59.1475,vol,236.59,vol,78.86333333333333,vol,1.0,whole,0.0,wt,567.0,wt,0.0,,0.0,,0.0,,0.0,,0.0,,0
4033,Sesame-Chicken-AllRecipes-38822,Sesame Chicken,4,1800.0,2.0,4 (1-1/4 cup) portions,Main Dishes,Asian,0.3333,1.0,0.1667,0.6667,0.3333,0.1667,American,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2.6667,True,0,sesame seeds,chicken breasts,snow peas,red bell pepper,green bell pepper,soy sauce,water,brown sugar,ground ginger,green onions,nonstick cooking spray,,,,,,,,,,14.787,vol,453.6,wt,473.18,vol,1.0,whole,0.0,wt,36.9675,vol,29.574,vol,7.3935,vol,1.23225,vol,2.0,wt,0.0,wt,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
4034,Chicken-with-Olives-The-Pioneer-Woman-Cooks-_-Ree-Drummond-41259,Chicken with Olives,5,4200.0,6.0,6,Main Dishes,American,0.0,0.1667,0.1667,0.1667,0.1667,0.1667,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0.8334999999999999,True,0,butter,olive oil,chicken,medium onion,"garlic cloves, minced",greens,juice,white wine,salt,freshly ground black pepper,heavy cream,greens,linguine,,,,,,,,59.148,vol,59.148,vol,6.0,whole,1.0,whole,5.0,whole,0.0,wt,793.8000000000001,wt,236.59,vol,0.0,whole,0.0,wt,59.1475,vol,236.59,vol,340.20000000000005,wt,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
4038,Tony_s-Hand_tossed-Pizza-My-Recipes,Tony's Hand-Tossed Pizza,4,,12.0,Makes 2 pizzas (14 in.); 8 to 12 servings,Main Dishes,Italian,0.0,0.5,0.6667,0.3333,0.3333,0.3333,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2.1666,True,0,pizza dough,sauce,whole milk,meat,red bell pepper,minced garlic,,,,,,,,,,,,,,,0.0,whole,354.885,vol,946.36,vol,113.4,wt,946.36,vol,59.148,vol,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
4039,Indian-Chicken-Curry-I-Allrecipes,Indian Chicken Curry I,5,2700.0,6.0,6 servings,Main Dishes,Asian,0.0,0.6667,0.5,0.6667,0.6667,0.3333,Indian,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2.8334,True,0,chicken breast halves,salt and pepper to taste,salt and pepper to taste,olive oil,onion,ginger root,garlic,curry powder,tomato sauce,coconut milk,whole cloves,cardamom pods,cinnamon stick,salt to taste,,,,,,,8.0,whole,0.0,whole,0.0,whole,14.787,vol,0.0,vol,4.929,vol,4.929,vol,14.787,vol,425.25,wt,283.5,wt,4.0,whole,4.0,whole,1.0,whole,0.0,whole,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
4041,Eleanora_s-Eggplant-Parmigiana-Martha-Stewart,Eleanora's Eggplant Parmigiana,4,6300.0,10.0,servings: 10,Main Dishes,Italian,0.0,0.5,0.6667,0.5,0.6667,0.8333,,Summer,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,3.1667,True,0,breadcrumbs,basil,parsley,all-purpose flour,large eggs,pecorino cheese,eggplant,olive oil,marinara sauce,dried oregano,mozzarella,,,,,,,,,,709.77,vol,4.929,vol,4.929,vol,473.18,vol,14.0,whole,295.7375,vol,3.0,whole,0.0,whole,0.0,whole,9.858,vol,946.36,vol,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
4047,Thai-Seafood-Salad-MyRecipes-245339,Thai Seafood Salad,4,1200.0,2.0,6 servings (serving size: about 1 1/3 cups),Main Dishes,Asian,0.3333,1.0,0.8333,0.5,0.5,0.3333,Thai,,,,Salads,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3.4999,True,0,water,sea scallops,shrimp,fresh lime juice,fish sauce,sugar,chiles,red bell pepper,red onion,chopped fresh mint,crabmeat,lemongrass,cucumber,,,,,,,,59.1475,vol,226.8,wt,453.6,wt,73.935,vol,36.9675,vol,4.929,vol,4.929,vol,236.59,vol,118.295,vol,59.1475,vol,226.8,wt,0.0,wt,1.0,whole,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
4051,Italian-Pasta-Casserole-with-Zucchini-1387279,Italian Pasta Casserole with Zucchini,4,3600.0,4.0,,Main Dishes,Italian,0.0,0.1667,0.5,0.3333,0.5,0.3333,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1.8333,True,0,fusilli,italian sausage,chopped onion,cloves garlic,sauce,zucchini,feta cheese,ricotta cheese,eggs,parmesan cheese,,,,,,,,,,,453.6,wt,453.6,wt,1.0,whole,2.0,whole,680.4000000000001,wt,2.0,whole,236.59,vol,425.25,wt,1.0,whole,118.295,vol,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
4055,Hawaiian-Beef-Casserole-AllRecipes,Hawaiian Beef Casserole,4,3900.0,5.0,5 servings,Main Dishes,American,0.0,0.5,0.8333,0.8333,1.0,1.0,Hawaiian,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4.1666,True,0,cooking oil,chopped onion,ground beef,kidney beans,pineapple juice,ketchup,brown sugar,cornstarch,mustard,salt,,,,,,,,,,,29.574,vol,1.0,whole,453.6,wt,538.65,wt,538.65,wt,236.59,vol,118.295,vol,14.787,vol,9.858,vol,4.929,vol,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
4056,Classic-chili-con-carne-310208,Classic Chili Con Carne,5,4200.0,8.0,8 servings,Main Dishes,Mexican,0.8333,0.3333,0.6667,0.1667,0.8333,0.5,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3.3333,True,0,bacon,"medium onion, chopped",ground beef,jalapeno,cloves garlic,chili powder,cumin,oregano,salt,tomatoes,beef broth,pinto beans,lime,cilantro,cheddar cheese,,,,,,170.10000000000002,wt,78.86333333333333,vol,1360.8000000000002,wt,2.0,whole,3.0,whole,44.361000000000004,vol,29.574,vol,4.929,vol,14.787,vol,793.8000000000001,wt,473.18,vol,0.0,wt,1.0,whole,0.0,vol,0.0,whole,0.0,,0.0,,0.0,,0.0,,0.0,,0
4058,Pot-Roast-With-Winter-Root-Vegetables-Epicurious,Pot Roast with Winter Root Vegetables,5,,10.0,Makes 8 to 10 servings,Main Dishes,American,0.0,1.0,0.3333,0.6667,0.8333,0.5,,Winter,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,17,3.3333,True,0,fresh thyme,sweet paprika,coarse kosher salt,freshly ground black pepper,dry mustard,brown sugar,beef chuck,slab bacon,dry red wine,chicken broth,large onion,shallots,cloves garlic,bay leaf,carrots,parsnips,celery root,,,,9.858,vol,9.858,vol,9.858,vol,9.858,vol,4.929,vol,4.929,vol,0.0,wt,170.10000000000002,wt,473.18,vol,118.295,vol,2.0,whole,12.0,whole,12.0,whole,3.0,whole,453.6,wt,340.20000000000005,wt,1.0,whole,0.0,,0.0,,0.0,,0
4060,Seared-Sesame-Crusted-Salmon-MyRecipes-214911,Seared Sesame-Crusted Salmon,4,1500.0,4.0,Serves 4,Main Dishes,American,0.0,0.3333,0.1667,0.0,0.8333,1.0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2.3333,True,0,sesame seeds,salmon fillet,vegetable oil,salt and pepper,salt and pepper,,,,,,,,,,,,,,,,59.1475,vol,0.0,wt,14.787,vol,0.0,whole,0.0,whole,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
4066,Thai-Garlic-Chicken-1180140,Thai Garlic Chicken,4,1800.0,4.0,,Main Dishes,Asian,0.0,0.3333,0.8333,0.1667,0.8333,0.8333,Thai,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2.9999,True,0,chicken thighs,"garlic cloves, minced",black pepper,fish sauce,sugar,oil,,,,,,,,,,,,,,,0.0,wt,10.0,whole,29.574,vol,14.787,vol,2.4645,vol,29.574,vol,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
4068,Cheesy-Chicken-Allrecipes,Cheesy Chicken,4,3600.0,6.0,6 servings,Main Dishes,Kid-Friendly,0.0,0.1667,0.8333,0.1667,0.6667,1.0,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2.8334,True,0,chicken breast halves,celery,cheddar cheese,croutons,,,,,,,,,,,,,,,,,6.0,whole,304.7625,wt,226.8,wt,236.59,vol,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
4072,Risotto-with-Asparagus_-Peas_-Parsley_-and-Lemon-572169,"Risotto with Asparagus, Peas, Parsley, and Lemon",5,1800.0,2.0,Serves 2,Main Dishes,Italian,0.1667,0.1667,0.6667,0.1667,0.1667,0.1667,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1.5002000000000002,True,0,vegetable broth,white onion,cloves garlic,unsalted butter,fine sea salt,white pepper,arborio rice,dry white wine,asparagus,olive oil,fine sea salt,frozen peas,chopped flat-leaf parsley,lemon zest,freshly squeezed lemon juice,parmigiano-reggiano cheese,,,,,709.77,vol,1.0,whole,1.0,whole,29.574,vol,1.23225,vol,0.616125,vol,177.4425,vol,118.295,vol,226.8,wt,4.929,vol,0.0,whole,78.86333333333333,vol,9.858,vol,9.858,vol,4.929,vol,14.787,vol,0.0,,0.0,,0.0,,0.0,,0
